"bifparone"	"time.min"	"time.max"	"resource.min"	"resource.max"	"juv_bio.min"	"juv_bio.max"	"ad_bio.min"	"ad_bio.max"	"total_bio.min"	"total_bio.max"	"juv_number.min"	"juv_number.max"	"ad_number.min"	"ad_number.max"	"total_number.min"	"total_number.max"	"ingestion.min"	"ingestion.max"	"birthrate.min"	"birthrate.max"	"rep_rate.min"	"rep_rate.max"	"mat_rate.min"	"mat_rate.max"	"age_mat.min"	"age_mat.max"	"juv_surv.min"	"juv_surv.max"	"max_size.min"	"max_size.max"	"max_age.min"	"max_age.max"	"period1.min"	"period1.max"	"period2.min"	"period2.max"
0.52	130000	130000	0.5093522123	4.6318632896	0.0445438296	11.1333666323	0.061206824	19.303114336	4.1762244155	20.3184737748	0.3473472249	41.0752458548	0.0061445425	10.9545891134	7.5927902093	41.2605142311	2.5322762624	2.9497302607	0.0522510776	7.2172945428	0.0052251078	0.7217294543	0	0.161861943	86.499919381	585.4999328422	1.247915e-05	0.2732030382	9.9567521008	9.9805134781	715.4907158664	1064.4988734963	502.7699185406	502.7699185406	452.6853333333	452.6853333333
0.53	140000	140000	0.5140410717	4.374429904	0.0460233213	11.16221204	0.0631645123	19.1435889104	4.316723032	20.1568994699	0.3685990472	42.0649287949	0.0063418708	10.9720416097	7.5807139034	42.2341865677	2.558361159	2.9492439335	0.0531846721	7.0984768031	0.0053184672	0.7098476803	0	0.1631086379	88.4999165767	585.4999306527	1.65318e-07	0.2651302939	9.9559736618	9.9800429392	719.4907432998	1066.4989021278	501.0121608114	501.0121608114	456.482	456.482
0.54	150000	150000	0.5186899928	4.1392648132	0.0497893169	11.2651364825	0.0646479908	18.9811501983	4.4575329946	19.9992924282	0.3913013487	43.087498406	0.0064916459	10.9779503241	7.5725340417	43.2404075717	2.582192463	2.9487674703	0.0541242439	6.9788420275	0.0054124244	0.6978842028	0	0.1626106916	90.4999182259	585.4999289655	1.597591e-07	0.2572960758	9.9551262199	9.9795471414	723.4907782779	1068.4989239908	499.1087681219	499.1087681219	460.444	460.444
0.55	160000	160000	0.5238444513	3.9235978874	0.092661351	11.2799408058	0.0667618819	18.8061077692	4.5989714297	19.8285057347	0.4867801883	44.1448939802	0.0067048271	10.973987867	7.5685676255	44.2811896208	2.6040468927	2.9482431737	0.0550664992	6.8576348381	0.0055066499	0.6857634838	0	0.1603034478	92.4999200259	585.4999267536	1.858726e-07	0.2496933014	9.9542118032	9.9790253464	727.4908483671	1070.4989087785	497.0391068821	497.0391068821	464.8418333333	464.8418333333
0.56	170000	170000	0.5294952218	3.7251282776	0.1455323942	11.2761391683	0.0690660325	18.6077638087	4.7413758817	19.6442546719	0.5560404197	45.2392326795	0.0069372221	10.961377556	7.5766366087	45.3585479812	2.6241512597	2.9476715154	0.056007858	6.7348314048	0.0056007858	0.6734831405	0	0.1599716524	94.4999204966	584.4999249092	5.500427e-06	0.2423147018	9.9533321306	9.9784743136	731.4909533595	1072.4988664556	494.9873819114	494.9873819114	469.5165	469.5165
0.57	180000	180000	0.5347842064	3.5420822605	0.1354637062	11.3258376822	0.0710098939	18.4414165612	4.8847995934	19.4759023956	0.5764879961	46.3729085259	0.0071335154	10.9410494054	7.5677707585	46.4749089752	2.6427003341	2.9471307432	0.056948778	6.6113592011	0.0056948778	0.6611359201	0	0.1595767953	96.4999198907	584.499922731	3.054922e-06	0.2351544965	9.9522516308	9.9778953545	735.4910079531	1074.4988359823	492.8257382568	492.8257382568	472.9985	472.9985
0.58	190000	190000	0.5402804505	3.3726743319	0.1276046544	11.2464984894	0.0740713137	18.2714745457	5.029590484	19.3043712679	0.5968832558	47.5484819821	0.0074422516	10.9147781258	7.5600499457	47.6327834003	2.6598644755	2.9465692823	0.0578894537	6.4868429873	0.0057889454	0.6486842987	0	0.1637068133	98.49990357	583.4999205013	1.828535e-06	0.2282053509	9.9509855925	9.9772626886	738.4910673889	1075.4989918949	490.4564772112	490.4564772112	478.6361666667	478.6361666667
0.59	2e+05	2e+05	0.546024076	3.2154801261	0.1211392418	11.3016690761	0.0760723493	18.0965627942	5.1759920172	19.1279818748	0.6186023449	48.7688277518	0.0076445256	10.8812973994	7.5545629965	48.8349971841	2.6757882798	2.9459829733	0.058836088	6.3610312024	0.0058836088	0.6361031202	0	0.1629963005	100.4999045882	583.499918248	1.101563e-06	0.2214499615	9.9497657091	9.9766264954	742.4911316864	1077.4989641788	487.9119062462	487.9119062462	482.0581666667	482.0581666667
0.6	210000	210000	0.5521733072	3.0692718056	0.1159464198	11.357596361	0.0780875116	17.9138496884	5.3241762037	18.9438641048	0.6422581868	50.0371139629	0.0078483395	10.8420807078	7.5530755319	50.0846841597	2.6905922446	2.9453584694	0.0597946102	6.2329820107	0.005979461	0.6232982011	0	0.1621355989	102.4999060457	583.4999159891	6.786023e-07	0.214910435	9.9484787244	9.9759618053	746.4912001844	1079.4989371046	485.0959367934	485.0959367934	488.5678333333	488.5678333333
0.61	220000	220000	0.5579657349	2.9330508372	0.1034425178	11.3509217209	0.0807421596	17.73124885	5.4741030759	18.7745535772	0.653727872	51.3463080238	0.0081166097	10.9608299977	7.5549566889	51.3843871825	2.7043846689	2.9447698045	0.0607555118	6.1062461766	0.0060755512	0.6106246177	0	0.1612801572	103.4999061583	582.4999140148	1.323199e-07	0.2117152135	9.9470483494	9.9752610026	750.4911919479	1081.4988521321	481.5304248289	481.5304248289	493.5655	493.5655
